Entry,Entry name,Status,Protein names,Gene names,Organism,Length,EC number
P00734,THRB_HUMAN,reviewed,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],F2,Homo sapiens (Human),622,3.4.21.5
P09945,HIRV2_HIRME,reviewed,Hirudin variant-2 (Fragment),,Hirudo medicinalis (Medicinal leech),72,
P04042,CHEB_SALTY,reviewed,Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44),cheB STM1917,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),349,3.1.1.61; 3.5.1.44
P00648,RNBR_BACAM,reviewed,Ribonuclease (EC 3.1.27.-) (Barnase) (RNase Ba),,Bacillus amyloliquefaciens (Bacillus velezensis),157,3.1.27.-
P61823,RNAS1_BOVIN,reviewed,Ribonuclease pancreatic (EC 4.6.1.18) (RNase 1) (RNase A),RNASE1 RNS1,Bos taurus (Bovine),150,4.6.1.18
P01635,KV5A3_MOUSE,reviewed,Ig kappa chain V-V region K2 (Fragment),,Mus musculus (Mouse),115,
P01820,HVM44_MOUSE,reviewed,Ig heavy chain V region PJ14,,Mus musculus (Mouse),115,
O07883,PCP_THELN,reviewed,Pyrrolidone-carboxylate peptidase (EC 3.4.19.3) (5-oxoprolyl-peptidase) (Pyroglutamyl-peptidase I) (PGP-I),pcp OCC_03923,Thermococcus litoralis (strain ATCC 51850 / DSM 5473 / JCM 8560 / NS-C),220,3.4.19.3
P04585,POL_HV1H2,reviewed,Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)],gag-pol,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1),1435,3.4.23.16; 2.7.7.49; 2.7.7.7; 3.1.26.13; 3.1.13.2; 2.7.7.-; 3.1.-.-
P28504,HIR2_HIRME,reviewed,Hirudin-2 (Hirudin II),,Hirudo medicinalis (Medicinal leech),65,
P15445,PA2A2_NAJNA,reviewed,Acidic phospholipase A2 2 (PLA22) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),,Naja naja (Indian cobra),119,3.1.1.4
O85465,GUN5_SALAG,reviewed,"Endoglucanase 5A (EC 3.2.1.4) (Alkaline cellulase) (Endo-1,4-beta-glucanase 5A)",cel5A,Salipaludibacillus agaradhaerens (Bacillus agaradhaerens),400,3.2.1.4
P27907,NRAM_INBBE,reviewed,Neuraminidase (EC 3.2.1.18),NA,Influenza B virus (strain B/Beijing/1/1987),465,3.2.1.18
P03958,ADA_MOUSE,reviewed,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),Ada,Mus musculus (Mouse),352,3.5.4.4
P03950,ANGI_HUMAN,reviewed,Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5),ANG RNASE5,Homo sapiens (Human),147,3.1.27.-
P13489,RINI_HUMAN,reviewed,Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI),RNH1 PRI RNH,Homo sapiens (Human),461,
P00750,TPA_HUMAN,reviewed,Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B],PLAT,Homo sapiens (Human),562,3.4.21.68
P98119,URT1_DESRO,reviewed,Salivary plasminogen activator alpha 1 (EC 3.4.21.68) (DSPA alpha-1),,Desmodus rotundus (Vampire bat),477,3.4.21.68
P18314,URE1_KLEAE,reviewed,Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha),ureC,Klebsiella aerogenes (Enterobacter aerogenes),567,3.5.1.5
P18315,URE2_KLEAE,reviewed,Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta),ureB,Klebsiella aerogenes (Enterobacter aerogenes),106,3.5.1.5
P18316,URE3_KLEAE,reviewed,Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma),ureA,Klebsiella aerogenes (Enterobacter aerogenes),100,3.5.1.5
P0AG30,RHO_ECOLI,reviewed,Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho),rho nitA psuA rnsC sbaA tsu b3783 JW3756,Escherichia coli (strain K12),419,3.6.4.-
P25814,RNPA_BACSU,reviewed,Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5),rnpA BSU41050,Bacillus subtilis (strain 168),116,3.1.26.5
P35813,PPM1A_HUMAN,reviewed,Protein phosphatase 1A (EC 3.1.3.16) (Protein phosphatase 2C isoform alpha) (PP2C-alpha) (Protein phosphatase IA),PPM1A PPPM1A,Homo sapiens (Human),382,3.1.3.16
Q01532,BLH1_YEAST,reviewed,"Cysteine proteinase 1, mitochondrial (EC 3.4.22.40) (Bleomycin hydrolase) (BLM hydrolase) (Homocysteine-thiolactonase) (HTLase) (Hcy-thiolactonase) (Leucine aminopeptidase 3) (Y3)",LAP3 BLH1 GAL6 YCP1 YNL239W N1118,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),483,3.4.22.40
Q94702,PPO1_PHYPO,reviewed,Intron-encoded endonuclease I-PpoI (I-Ppo) (EC 3.1.-.-),,Physarum polycephalum (Slime mold),163,3.1.-.-
Q58839,FEN_METJA,reviewed,Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1),fen MJ1444,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),326,3.1.-.-
P25910,BLAB_BACFG,reviewed,Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase II) (Carbapenem and cephamycin resistance) (CCRA) (Cephalosporinase) (Imipenem-cefoxitin hydrolyzing enzyme) (Metallo-beta-lactamase type II) (Penicillinase) (Zinc-requiring beta-lactamase),ccrA cfiA,Bacteroides fragilis,249,3.5.2.6
P22894,MMP8_HUMAN,reviewed,Neutrophil collagenase (EC 3.4.24.34) (Matrix metalloproteinase-8) (MMP-8) (PMNL collagenase) (PMNL-CL),MMP8 CLG1,Homo sapiens (Human),467,3.4.24.34
P04958,TETX_CLOTE,reviewed,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],tetX CTC_p60,Clostridium tetani (strain Massachusetts / E88),1315,3.4.24.68
P03367,POL_HV1BR,reviewed,Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)],gag-pol,Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1),1447,3.4.23.16; 2.7.7.49; 2.7.7.7; 3.1.26.13; 3.1.13.2; 2.7.7.-; 3.1.-.-
P0A6T5,GCH1_ECOLI,reviewed,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),folE b2153 JW2140,Escherichia coli (strain K12),222,3.5.4.16
P68699,ATPL_ECOLI,reviewed,ATP synthase subunit c (ATP synthase F(0) sector subunit c) (Dicyclohexylcarbodiimide-binding protein) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein),atpE papH uncE b3737 JW3715,Escherichia coli (strain K12),79,
P18031,PTN1_HUMAN,reviewed,Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B),PTPN1 PTP1B,Homo sapiens (Human),435,3.1.3.48
P00766,CTRA_BOVIN,reviewed,Chymotrypsinogen A (EC 3.4.21.1) [Cleaved into: Chymotrypsin A chain A; Chymotrypsin A chain B; Chymotrypsin A chain C],,Bos taurus (Bovine),245,3.4.21.1
P0ABA4,ATPD_ECOLI,reviewed,ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta),atpH papE uncH b3735 JW3713,Escherichia coli (strain K12),177,
P69328,AMYG_ASPNG,reviewed,"Glucoamylase (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)",GLAA,Aspergillus niger,640,3.2.1.3
P09620,KEX1_YEAST,reviewed,Pheromone-processing carboxypeptidase KEX1 (EC 3.4.16.6) (Carboxypeptidase D) (Killer expression defective protein 1),KEX1 YGL203C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),729,3.4.16.6
P01051,ICIC_HIRME,reviewed,Eglin C,,Hirudo medicinalis (Medicinal leech),70,
P04058,ACES_TETCF,reviewed,Acetylcholinesterase (AChE) (EC 3.1.1.7),ache,Tetronarce californica (Pacific electric ray) (Torpedo californica),586,3.1.1.7
P01050,HIRV1_HIRME,reviewed,Hirudin variant-1 (Hirudin-1) (Hirudin-I) (Lepirudin),,Hirudo medicinalis (Medicinal leech),65,
P00608,PA2B_NOTSC,reviewed,Basic phospholipase A2 notexin (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),119,3.1.1.4
P00785,ACTN_ACTCC,reviewed,Actinidain (Actinidin) (EC 3.4.22.14) (allergen Act c 1),ACT1A CEY00_Acc12058,Actinidia chinensis var. chinensis (Chinese soft-hair kiwi),380,3.4.22.14
P23694,PRZN_SERMA,reviewed,Serralysin (EC 3.4.24.40) (Extracellular metalloproteinase) (Zinc proteinase),,Serratia marcescens,487,3.4.24.40
P0ABF6,CDD_ECOLI,reviewed,Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA),cdd b2143 JW2131,Escherichia coli (strain K12),294,3.5.4.5
P00780,SUBC_BACLI,reviewed,Subtilisin Carlsberg (EC 3.4.21.62),subC apr,Bacillus licheniformis,379,3.4.21.62
P05725,DNE1_CHLRE,reviewed,DNA endonuclease I-CreI (EC 3.1.-.-) (23S rRNA intron protein),,Chlamydomonas reinhardtii (Chlamydomonas smithii),163,3.1.-.-
P19656,NLTP_MAIZE,reviewed,Non-specific lipid-transfer protein (LTP) (Phospholipid transfer protein) (PLTP) (allergen Zea m 14),,Zea mays (Maize),120,
P10152,ANG1_BOVIN,reviewed,Angiogenin-1 (EC 3.1.27.-),ANG1 ANG,Bos taurus (Bovine),148,3.1.27.-
P09331,ETA_STAAU,reviewed,Exfoliative toxin A (EC 3.4.21.-) (Epidermolytic toxin A),eta,Staphylococcus aureus,280,3.4.21.-
P69327,AMYG_ASPAW,reviewed,"Glucoamylase (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)",GLAA,Aspergillus awamori (Black koji mold),640,3.2.1.3
P10172,ASPQ_ACIGL,reviewed,Glutaminase-asparaginase (EC 3.5.1.38) (L-ASNase/L-GLNase) (L-asparagine/L-glutamine amidohydrolase),ansB,Acinetobacter glutaminasificans,331,3.5.1.38
P00590,CUTI1_FUSVN,reviewed,Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1),CUT1 CUTA,Fusarium vanettenii (Neocosmospora pisi),230,3.1.1.74
P09598,PHLC_BACCE,reviewed,Phospholipase C (PLC) (EC 3.1.4.3) (Cereolysin A) (Phosphatidylcholine cholinephosphohydrolase),plc,Bacillus cereus,283,3.1.4.3
P16094,RIP1_MOMCH,reviewed,Ribosome-inactivating protein momordin I (EC 3.2.2.22) (Alpha-momorcharin) (Alpha-MMC) (rRNA N-glycosidase),,Momordica charantia (Bitter gourd) (Balsam pear),286,3.2.2.22
P06875,PAC_ECOLX,reviewed,Penicillin G acylase (EC 3.5.1.11) (Penicillin G amidase) (Penicillin G amidohydrolase) [Cleaved into: Penicillin G acylase subunit alpha; Penicillin G acylase subunit beta],pac,Escherichia coli,846,3.5.1.11
P03369,POL_HV1A2,reviewed,Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)],gag-pol,Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2) (HIV-1),1437,3.4.23.16; 2.7.7.49; 2.7.7.7; 3.1.26.13; 3.1.13.2; 2.7.7.-; 3.1.-.-
P25779,CYSP_TRYCR,reviewed,Cruzipain (EC 3.4.22.51) (Cruzaine) (Major cysteine proteinase),,Trypanosoma cruzi,467,3.4.22.51
P07103,GUNZ_DICD3,reviewed,"Endoglucanase Z (EC 3.2.1.4) (Cellulase Z) (Endo-1,4-beta-glucanase Z) (EGZ)",celZ cel5 cel5Z Dda3937_02793,Dickeya dadantii (strain 3937) (Erwinia chrysanthemi (strain 3937)),426,3.2.1.4
P28510,HIR3B_HIRME,reviewed,Hirudin-3B (Hirudin IIIB),,Hirudo medicinalis (Medicinal leech),65,
P00634,PPB_ECOLI,reviewed,Alkaline phosphatase (APase) (EC 3.1.3.1),phoA b0383 JW0374,Escherichia coli (strain K12),471,3.1.3.1
P23904,GUB_PAEMA,reviewed,"Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Lichenase)",,Paenibacillus macerans (Bacillus macerans),237,3.2.1.73
P03366,POL_HV1B1,reviewed,Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)],gag-pol,Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1),1447,3.4.23.16; 2.7.7.49; 2.7.7.7; 3.1.26.13; 3.1.13.2; 2.7.7.-; 3.1.-.-
P24289,NUP1_PENCI,reviewed,Nuclease P1 (EC 3.1.30.1) (Deoxyribonuclease P1) (Endonuclease P1),,Penicillium citrinum,270,3.1.30.1
P00782,SUBT_BACAM,reviewed,Subtilisin BPN' (EC 3.4.21.62) (Alkaline protease) (Subtilisin DFE) (Subtilisin Novo),apr,Bacillus amyloliquefaciens (Bacillus velezensis),382,3.4.21.62
Q03023,APRA_PSEAE,reviewed,Serralysin (EC 3.4.24.40) (Alkaline metalloproteinase) (AP),aprA PA1249,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),479,3.4.24.40
P30122,CEL_BOVIN,reviewed,Bile salt-activated lipase (BAL) (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.1.1.6) (Bile salt-stimulated lipase) (BSSL) (Carboxyl ester lipase) (Cholesterol esterase) (Pancreatic lysophospholipase) (Sterol esterase) (Fragment),CEL,Bos taurus (Bovine),597,3.1.1.13; 3.1.1.3; 3.1.1.6
P09030,EX3_ECOLI,reviewed,Exodeoxyribonuclease III (EXO III) (Exonuclease III) (EC 3.1.11.2) (AP endonuclease VI),xthA xth b1749 JW1738,Escherichia coli (strain K12),268,3.1.11.2
P00761,TRYP_PIG,reviewed,Trypsin (EC 3.4.21.4),,Sus scrofa (Pig),231,3.4.21.4
P13051,UNG_HUMAN,reviewed,Uracil-DNA glycosylase (UDG) (EC 3.2.2.27),UNG DGU UNG1 UNG15,Homo sapiens (Human),313,3.2.2.27
P00807,BLAC_STAAU,reviewed,Beta-lactamase (EC 3.5.2.6) (Penicillinase),blaZ,Staphylococcus aureus,281,3.5.2.6
P60953,CDC42_HUMAN,reviewed,Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein),CDC42,Homo sapiens (Human),191,3.6.5.2
Q07960,RHG01_HUMAN,reviewed,Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP),ARHGAP1 CDC42GAP RHOGAP1,Homo sapiens (Human),439,
P56272,PEP2B_GADMO,reviewed,Pepsin-2B (EC 3.4.23.-) (Pepsin IIB),,Gadus morhua (Atlantic cod),324,3.4.23.-
P00763,TRY2_RAT,reviewed,Anionic trypsin-2 (EC 3.4.21.4) (Anionic trypsin II) (Pretrypsinogen II) (Serine protease 2),Prss2 Try2,Rattus norvegicus (Rat),246,3.4.21.4
Q01693,AMPX_VIBPR,reviewed,Bacterial leucyl aminopeptidase (EC 3.4.11.10),,Vibrio proteolyticus (Aeromonas proteolytica),504,3.4.11.10
P04063,AMY2_HORVU,reviewed,"Alpha-amylase type B isozyme (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (AMY2-2) (High pI alpha-amylase)",AMY1.2,Hordeum vulgare (Barley),427,3.2.1.1
P36368,EGFB2_MOUSE,reviewed,Epidermal growth factor-binding protein type B (EGF-BP B) (EC 3.4.21.119) (Glandular kallikrein K13) (mGK-13) (Prorenin-converting enzyme 1) (PRECE-1) (Tissue kallikrein 13),Egfbp2 Egfbp-2 Klk-13 Klk13,Mus musculus (Mouse),261,3.4.21.119
P04084,PA2A_VIPAE,reviewed,Acidic phospholipase A2 homolog vipoxin A chain (svPLA2 homolog) (Acidic phospholipase A2 inhibitor vipoxin A chain) (Vipoxin acidic component) (VAC) (Vipoxin non-toxic component),,Vipera ammodytes meridionalis (Eastern sand viper),122,
P14420,PA2B_VIPAE,reviewed,Basic phospholipase A2 vipoxin B chain (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Vipoxin toxic component),,Vipera ammodytes meridionalis (Eastern sand viper),122,3.1.1.4
P00743,FA10_BOVIN,reviewed,Coagulation factor X (EC 3.4.21.6) (Stuart factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain],F10,Bos taurus (Bovine),492,3.4.21.6
P00736,C1R_HUMAN,reviewed,Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain],C1R,Homo sapiens (Human),705,3.4.21.41
P00818,ACYP2_HORSE,reviewed,"Acylphosphatase-2 (EC 3.6.1.7) (Acylphosphatase, muscle type isozyme) (Acylphosphate phosphohydrolase 2)",ACYP2 ACYP,Equus caballus (Horse),99,3.6.1.7
P00798,PEPA1_PENJA,reviewed,Penicillopepsin-1 (EC 3.4.23.20) (Aspartic protease) (Peptidase A),,Penicillium janthinellum (Penicillium vitale),323,3.4.23.20
P20933,ASPG_HUMAN,reviewed,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26) (Aspartylglucosaminidase) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain; Glycosylasparaginase beta chain],AGA,Homo sapiens (Human),346,3.5.1.26
P12257,GUB2_HORVU,reviewed,"Lichenase-2 (EC 3.2.1.73) ((1->3,1->4)-beta-glucanase isoenzyme EII) (Endo-beta-1,3-1,4 glucanase II) (Lichenase II) (Fragment)",,Hordeum vulgare (Barley),312,3.2.1.73
Q60099,HAD_XANAU,reviewed,(S)-2-haloacid dehalogenase (EC 3.8.1.2) (2-haloalkanoic acid dehalogenase) (Halocarboxylic acid halidohydrolase) (L-2-haloacid dehalogenase),dhlB,Xanthobacter autotrophicus,253,3.8.1.2
P00760,TRY1_BOVIN,reviewed,Cationic trypsin (EC 3.4.21.4) (Beta-trypsin) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2],,Bos taurus (Bovine),246,3.4.21.4
P29957,AMY_PSEHA,reviewed,"Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",amy,Pseudoalteromonas haloplanktis (Alteromonas haloplanktis),669,3.2.1.1
P0A6E6,ATPE_ECOLI,reviewed,ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit),atpC papG uncC b3731 JW3709,Escherichia coli (strain K12),139,
P67876,RNMG_ASPRE,reviewed,Ribonuclease mitogillin (EC 3.1.27.-) (Restrictocin),ret,Aspergillus restrictus,176,3.1.27.-
P15636,API_ACHLY,reviewed,Protease 1 (EC 3.4.21.50) (API) (Lysyl endopeptidase) (Protease I),,Achromobacter lyticus,653,3.4.21.50
P00730,CBPA1_BOVIN,reviewed,Carboxypeptidase A1 (EC 3.4.17.1),CPA1 CPA,Bos taurus (Bovine),419,3.4.17.1
P07584,ASTA_ASTAS,reviewed,Astacin (EC 3.4.24.21) (Crayfish small molecule proteinase),,Astacus astacus (Noble crayfish) (Astacus fluviatilis),251,3.4.24.21
P43235,CATK_HUMAN,reviewed,Cathepsin K (EC 3.4.22.38) (Cathepsin O) (Cathepsin O2) (Cathepsin X),CTSK CTSO CTSO2,Homo sapiens (Human),329,3.4.22.38
P15167,VM1AD_CROAT,reviewed,Snake venom metalloproteinase atrolysin-D (SVMP) (EC 3.4.24.42) (Hemorrhagic metalloproteinase atrolysin D) (Hemorrhagic toxin D) (HT-D),,Crotalus atrox (Western diamondback rattlesnake),414,3.4.24.42
P19120,HSP7C_BOVIN,reviewed,Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8),HSPA8 HSC70,Bos taurus (Bovine),650,3.6.4.10
P08311,CATG_HUMAN,reviewed,Cathepsin G (CG) (EC 3.4.21.20),CTSG,Homo sapiens (Human),255,3.4.21.20
P46107,PCP_BACAM,reviewed,Pyrrolidone-carboxylate peptidase (EC 3.4.19.3) (5-oxoprolyl-peptidase) (Pyroglutamyl-peptidase I) (PGP-I) (Pyrase),pcp,Bacillus amyloliquefaciens (Bacillus velezensis),215,3.4.19.3
P63098,CANB1_HUMAN,reviewed,Calcineurin subunit B type 1 (Protein phosphatase 2B regulatory subunit 1) (Protein phosphatase 3 regulatory subunit B alpha isoform 1),PPP3R1 CNA2 CNB,Homo sapiens (Human),170,
Q08209,PP2BA_HUMAN,reviewed,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform),PPP3CA CALNA CNA,Homo sapiens (Human),521,3.1.3.16
Q53547,EST2_PSEFL,reviewed,Carboxylesterase 2 (EC 3.1.1.1) (Esterase II),estB,Pseudomonas fluorescens,218,3.1.1.1
P04070,PROC_HUMAN,reviewed,Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide],PROC,Homo sapiens (Human),461,3.4.21.69
P07596,IAAS_HORVU,reviewed,Alpha-amylase/subtilisin inhibitor (BASI),,Hordeum vulgare (Barley),203,
P20142,PEPC_HUMAN,reviewed,Gastricsin (EC 3.4.23.3) (Pepsinogen C),PGC,Homo sapiens (Human),388,3.4.23.3
